ProductNumber,Brand,Name,Rating,Evaluations,Price,Availability,URL,Type,Size(inci)
567999,Meinl,Percussion Mallet Medium,5,1,52.00,Available,https://www.thomann.de/ro/meinl_percussion_mallet_medium.htm?type=category,bete,
214370,Lefima,501 W Lyre Sticks White,5,1,281.00,Available,https://www.thomann.de/ro/lefima_501_w_lyre_sticks_white.htm?type=category,bete,
505531,Meinl,Byzance Dual Crash Cymbal Set,5,2,3490.00,Unavailable,https://www.thomann.de/ro/meinl_byzance_dual_crash_cymbal_set.htm?type=category,seturi,
558077,Meinl,Practice HCS Cymbal Set,,0,1990.00,Available,https://www.thomann.de/ro/meinl_practice_hcs_cymbal_set.htm?type=category,seturi,
606871,Meinl,Byzance Thomas Lang Set,,0,6699.00,Unavailable,https://www.thomann.de/ro/meinl_byzance_thomas_lang_set.htm?type=category,seturi,
312214,Istanbul Mehmet,Samatya Cymbal Set 3,4.8,4,2899.00,Unavailable,https://www.thomann.de/ro/istanbul_mehmet_samatya_cymbal_set_3.htm?type=category,seturi,
533370,Meinl,Pure Alloy Cymbal Set,5,2,4199.00,Unavailable,https://www.thomann.de/ro/meinl_pure_alloy_cymbal_set.htm?type=category,seturi,
582123,Meinl,Byzance A.Choice Benny Greb,,0,9499.00,On Demand,https://www.thomann.de/ro/meinl_byzance_achoice_benny_greb.htm?type=category,seturi,
376194,Meinl,Byzance Mike Johnston Set,4.9,15,7799.00,Unavailable,https://www.thomann.de/ro/meinl_byzance_mike_johnston_set.htm?type=category,seturi,
45139568949,Istanbul Mehmet,IMC Dark 3pcs Cymbal Set,,0,2699.00,Available,https://www.thomann.de/ro/istanbul_mehmet_imc_dark_3pcs_cymbal_set.htm?type=category,seturi,
582155,Meinl,Byzance Dual Crash Pack,5,1,3490.00,Available,https://www.thomann.de/ro/meinl_byzance_dual_crash_pack.htm?type=category,seturi,
582380,Meinl,Classics Custom Plus Set,,0,3111.00,Available,https://www.thomann.de/ro/meinl_classics_custom_plus_set.htm?type=category,seturi,
223861,Meinl,HCS Cymbal Set Starter Eco,4.6,24,845.00,Available,https://www.thomann.de/ro/meinl_hcs_beckensatz_starter_eco.htm?type=category,seturi,
582385,Meinl,HCS Expanded Cymbal Set,4,2,1690.00,Available,https://www.thomann.de/ro/meinl_hcs_expanded_cymbal_set.htm?type=category,seturi,
192995,Paiste,PST3 Starter Pack Set 2,4.1,14,899.00,Available,https://www.thomann.de/ro/paiste_pst3_starter_pack_set_2.htm?type=category,seturi,
